38563,The University of Alabama,Matthew McLendon,Alabama
27287,Auburn University,Joffery Gaymon,Alabama
35000,Univeristy of Alaska,Pat Spurgin,Alaska
103975,University of Phoenix,Peter Cohen,Arizona
7442,Central Arizona College,Jackie Elliot,Arizona
7155,Harding University,David Burks,Arkansas
16914,Stanford Univeristy,Marc Tessier-Lavigne,California
209444,California Polytechnic State University,Jeffrey Armstrong,California
2099,Colorado College,Song Richardson,Colorado
32183,Uconn,Thomas C.Katsouleas,Connecticut
1903,Connecticut College,Latherine Bergeron,Connecticut
1162,Goldey Beacom College,Colleen Perry Keith,Delaware
17003,University of Miami,Julio Frenk,Florida
6230,Georgia College,Steve Dorman,Georgia
7942,leeward community college,Carlos Penaloza,Hawaii
4998,hawaii pacific university,John Gotanda,Hawaii
925,the college idaho,Doug Brigham,idaho
21000,northwestern university,Morton O.Schapiro,Illinois
21998,Ball state University,Geoffrey S.Mearns,Indiana
1428,Coe College,David Mclnally,Lowa
33334,The university of Iowa,Bruce Harreld,Lowa
5732,emporia state university,Allison Garrett,Kansas
10998,Murray state university,Robert Jackson,Kentucky
30473,University of Kentucky,Eli Capilouto,Kentucky
31527,Louisiana state university,Tom Galligan,Louisiania
11286,Univeristy of Maine,Joan Ferrini-Mundy,Maine
22284,Towson university,Kim Schatzel,Maryland
22947,Harvard,Lawrence Bacow,Massachusetts
14125,Boston College,William P.Leahy,Massachusetts
44718,University of Michigan,Mark Schlissel,Michigan
51147,University of Minesota,Joan Gabel,Minnesota
2014,Carleton College,Steven G.Poskanzer,Minnesota
3523,alcorn state university,Felecia M.Nave,Mississippi
29866,university of missouri,Mun Choi,Missouri
5530,highlands college,Donald Green,Montana
8654,creighton university,Daniel S.Hendrickson,Nebraska
3534,nevada state college,Brat Patterson,Nevada
15398,university of new hampshire,James W.Dean jr,New Hampshire
20022,montclair state university,Dr.Susan A.Cole,New Jersey
25312,new mexico state university,John D.Floros,New Mexico
31455,columbia university,Lee Bollinger,New York
18090,baruch college,S.David Wu,New York
15192,duke university,Vincent Price,North Carolina
14648,university of north dakota,Andrew Armacost,North Dakota
29217,ohio university,M. Duane Nellis,Ohio
1662,Kenyon college,Sean M.Decatur,Ohio
2219,langston university,Kent J.Smith,Oklahoma
23634,University of oregon,Micheal H.Schill,Oregon
27229,portland state university,Stephen Percy,Oregon
2391,albright college,Jacquelyn S.Fetrow,Pennsylvania
9000,rhode island college,Frank Sanchez,Rhode Island
23406,clemson university,James P.Clements,South Carolina
4244,black hills state university,Laurie Nichols,South Dakota
28321,university of tennessee,Randy Boyd,Tennesse
45364,university of houston,Renu Khator,Texas
6740,rice university,David Leebron,Texas
32760,utah university,Ruth Watkins,Utah
11898,university of vermont,Suresh Garimella,Vermont
2078,champlain college,Benjamin Akande,Vermont
21985,Univeristy of virginia,James E.Ryan,Virginia
3544,centralia college,Robert Mohrbacher,Washington
28776,west virginia university,E.Gordont Gee,West Virginia
43820,wisconsin university,Tommy Thompson,Wisconsin
1143,beloit college,H.Scott Bierman,Wisconson
12627,university of wyoming,Ed Seidel,Wyoming
