Montgomery,Alabama,4887680
Juneau,Alaska,735139
Phoenix,Arizona,7158020
Little Rock,Arkansas,3009730
Sacramento,California,39461600
Denver,Colorado,5691290
Hartford,Connecticut,3571520
Dover,Delaware,965479
Tallahassee,Florida,21244300
Atlanta,Georgia,10511100
Honolulu,Hawaii,1420590
Boise,Idaho,1750540
Springfield,Illinois,12723100
Indianapolis,Indiana,6695500
Des Moines,Iowa,3148620
Topeka,Kansas,2911360
Frankfort,Kentucky,4461150
Baton Rouge,Louisiana,4659690
Augusta,Maine,1339060
Annapolis,Maryland,6035800
Boston,Massachusetts,6882640
Lansing,Michigan,9984070
St. Paul,Minnesota,5606250
Jackson,Mississippi,2981020
Jefferson City,Missouri,6121620
Helena,Montana,1060660
Lincoln,Nebraska,1925610
Carson City,Nevada,3027340
Concord,New Hampshire,1353460
Trenton,New Jersey,8886020
Santa Fe,New Mexico,2092740
Albany,New York,19530400
Raleigh,North Carolina,10381600
Bismarck,North Dakota,758080
Columbus,Ohio,11676300
Oklahoma City,Oklahoma,3940240
Salem,Oregon,4181890
Harrisburg,Pennsylvania,12800900
Providence,Rhode Island,1058290
Columbia,South Carolina,5084160
Pierre,South Dakota,878698
Nashville,Tennessee,6771630
Austin,Texas,28628700
Salt Lake City,Utah,3153550
Montpelier,Vermont,624358
Richmond,Virginia,8501290
Olympia,Washington,7523870
Charleston,West Virginia,1804290
Madison,Wisconsin,5807410
Cheyenne,Wyoming,577601
